BuyItNow,startprice,carrier,color,productline,noDescription,charCountDescription,upperCaseDescription,sold
1,94.99,AT&T,Midnight Black,Galaxy_S7,contains description,0,0,0
1,0.99,Verizon,Midnight Black,Galaxy_Note8,contains description,0,0,1
0,550,,,Galaxy_Note10,no description,101,5,0
1,0.99,None,,Galaxy_S8,contains description,0,0,1
1,210,,Black,Unknown,contains description,0,0,0
1,179,Verizon,Midnight Black,Galaxy_Note8,contains description,0,0,1
0,80,None,White,Unknown,no description,99,1,0
0,150,,White,Unknown,contains description,0,0,1
0,209,AT&T,,Galaxy_S9,contains description,0,0,1
0,439.99,Sprint/T-Mobile,Aura Black,Galaxy_Note10,contains description,0,0,0
0,349.99,Verizon,White,Galaxy_Note9,contains description,0,0,0
1,200,None,,Galaxy_S9,contains description,0,0,1
1,150,None,,Galaxy_S8,contains description,0,0,1
1,100,None,Midnight Black,Galaxy_S8,no description,101,18,1
1,395,None,Space Gray,Galaxy_Note10,contains description,0,0,0
0,208.99,None,Midnight Black,Galaxy_S8,no description,91,9,0
1,0.01,None,Midnight Black,Galaxy_Note8,no description,9,0,1
0,559.99,AT&T,White,Galaxy_Note10,contains description,0,0,1
1,60,None,Space Gray,Galaxy_S7,no description,89,2,1
0,229.98,None,White,Galaxy_Note8,no description,98,2,0
0,120,,,Unknown,contains description,0,0,0
1,50,None,Midnight Black,Galaxy_S9,no description,45,1,1
1,145,None,White,Galaxy_Note9,no description,96,12,1
1,299,,,Galaxy_Note9,no description,72,2,1
0,560,None,,Galaxy_Note10,contains description,0,0,0
0,159.95,None,,Galaxy_S7,contains description,0,0,0
1,49.95,None,,Unknown,no description,76,2,1
1,0.99,None,White,Galaxy_S8,contains description,0,0,1
1,159,None,Space Gray,Galaxy_Note8,contains description,0,0,1
1,50,None,,Galaxy_Note8,contains description,0,0,1
0,560,None,White,Galaxy_Note10,contains description,0,0,0
0,549.9,,Gold,Galaxy_Note10,contains description,0,0,0
0,80,None,White,Galaxy_S7,contains description,0,0,0
0,449.99,None,White,Galaxy_Note10,no description,101,5,0
1,79.99,AT&T,Midnight Black,Galaxy_S7,no description,97,8,0
0,785,Sprint/T-Mobile,Gold,Galaxy_Note10,contains description,0,0,0
0,186,AT&T,White,Unknown,no description,99,1,0
1,200,AT&T,White,Galaxy_Note9,no description,62,1,1
1,200,,Space Gray,Galaxy_Note9,contains description,0,0,1
1,220,Verizon,Midnight Black,Galaxy_Note8,contains description,0,0,1
0,349.95,AT&T,,Galaxy_Note10,no description,52,3,0
1,225,Sprint/T-Mobile,,Galaxy_Note10,contains description,0,0,1
1,0.99,AT&T,White,Galaxy_Note9,no description,35,3,1
1,100,AT&T,,Galaxy_S7,contains description,0,0,0
1,55,Verizon,Midnight Black,Galaxy_S7,no description,99,5,1
1,100,AT&T,,Galaxy_S8,no description,79,2,1
0,250,None,,Galaxy_S8,no description,101,2,0
0,89.99,None,Midnight Black,Galaxy_S8,contains description,0,0,0
1,0.99,None,White,Galaxy_S9,contains description,0,0,1
1,50,None,,Galaxy_S7,contains description,0,0,1
1,400,,,Galaxy_S9,contains description,0,0,0
1,99.99,None,White,Galaxy_Note9,contains description,0,0,1
0,222.72,None,,Galaxy_Note9,no description,94,18,0
0,280,None,White,Galaxy_Note10,no description,98,2,1
0,285,,,Unknown,no description,30,2,0
1,79,None,,Galaxy_S7,no description,100,4,1
1,99,AT&T,White,Galaxy_Note8,contains description,0,0,1
0,387.45,None,Midnight Black,Galaxy_S8,no description,106,2,0
1,239.99,None,Space Gray,Galaxy_Note9,contains description,0,0,0
0,438,None,White,Galaxy_Note10,contains description,0,0,0
1,139.99,None,Midnight Black,Galaxy_S9,contains description,0,0,1
1,99.99,None,Space Gray,Galaxy_S8,contains description,0,0,1
0,199,,Midnight Black,Galaxy_Note8,no description,96,3,1
1,80,None,White,Galaxy_S7,no description,29,2,0
1,0.99,,,Unknown,no description,94,2,1
0,200,None,,Galaxy_S8,contains description,0,0,1
0,185,,,Unknown,no description,48,7,0
1,49.99,None,,Galaxy_Note10,no description,101,3,1
0,259.99,Sprint/T-Mobile,Midnight Black,Galaxy_S8,no description,12,3,1
1,149,None,Space Gray,Galaxy_S8,no description,91,74,1
1,175,None,White,Galaxy_S8,no description,79,1,0
1,150,,White,Galaxy_Note8,no description,99,4,1
1,50,,,Galaxy_S7,no description,46,0,1
1,1,Sprint/T-Mobile,Gold,Galaxy_Note10,contains description,0,0,1
1,9.99,None,White,Galaxy_S7,no description,93,4,1
0,319.99,Verizon,,Galaxy_S9,contains description,0,0,0
1,80,None,White,Galaxy_S9,contains description,0,0,1
1,218,AT&T,Midnight Black,Galaxy_S9,contains description,0,0,1
1,0.99,None,White,Galaxy_S9,contains description,0,0,1
1,210,None,Space Gray,Galaxy_S8,no description,47,2,0
1,150,None,Midnight Black,Galaxy_S7,no description,99,2,0
0,429,Verizon,Midnight Black,Galaxy_S8,no description,33,26,0
1,0.99,AT&T,Midnight Black,Galaxy_S7,no description,93,2,1
0,219.99,None,Space Gray,Galaxy_S8,contains description,0,0,0
0,199.99,None,White,Galaxy_S8,contains description,0,0,0
1,0.99,AT&T,Midnight Black,Galaxy_S7,no description,70,2,1
1,9.99,None,White,Galaxy_S7,no description,93,4,1
1,89.99,Sprint/T-Mobile,Gold,Galaxy_Note8,no description,4,1,1
1,80,AT&T,Midnight Black,Galaxy_S9,contains description,0,0,1
0,159.95,,,Galaxy_S8,no description,56,7,0
0,319,Sprint/T-Mobile,Space Gray,Galaxy_Note10,contains description,0,0,0
1,10,,,Galaxy_Note8,contains description,0,0,1
1,99.99,None,White,Galaxy_Note8,no description,41,2,1
1,244.96,None,White,Galaxy_S9,no description,95,4,0
1,56,None,,Galaxy_S7,no description,98,5,1
1,129.99,None,Space Gray,Galaxy_S8,contains description,0,0,1
1,0.99,None,Midnight Black,Galaxy_S7,no description,99,4,1
1,150,None,White,Galaxy_Note10,contains description,0,0,1
1,0.99,None,Midnight Black,Galaxy_Note8,no description,95,6,1
1,300,None,Space Gray,Galaxy_Note10,contains description,0,0,1
1,459,None,,Galaxy_Note10,contains description,0,0,0
0,99.99,None,,Galaxy_S7,contains description,0,0,1
0,209.99,None,,Galaxy_Note8,no description,98,1,0
1,19.99,None,Midnight Black,Galaxy_S8,contains description,0,0,1
0,80,None,Midnight Black,Galaxy_S7,contains description,0,0,0
1,99.97,AT&T,Space Gray,Galaxy_Note9,no description,96,10,1
0,220,None,,Galaxy_Note8,no description,49,1,0
1,350,None,Space Gray,Galaxy_Note10,contains description,0,0,0
1,100,None,Midnight Black,Galaxy_Note8,no description,56,44,1
1,199.97,,,Unknown,no description,88,2,0
1,90,None,,Galaxy_S7,contains description,0,0,0
0,320,,Aura Black,Galaxy_Note10,no description,29,1,0
1,174,,Space Gray,Unknown,contains description,0,0,1
0,400,Sprint/T-Mobile,,Galaxy_S9,contains description,0,0,0
0,209,AT&T,,Galaxy_S9,contains description,0,0,0
1,350,Sprint/T-Mobile,White,Galaxy_Note9,contains description,0,0,0
1,95,Verizon,Midnight Black,Galaxy_Note8,contains description,0,0,1
1,265,Sprint/T-Mobile,,Galaxy_Note10,no description,105,3,0
1,199,AT&T,Space Gray,Galaxy_Note10,no description,97,7,1
1,125,None,,Galaxy_Note8,contains description,0,0,1
1,99.99,,,Unknown,no description,76,1,1
1,150,None,Black,Unknown,contains description,0,0,0
1,0.99,Verizon,Midnight Black,Galaxy_Note8,contains description,0,0,1
0,180,None,Midnight Black,Galaxy_S7,contains description,0,0,1
0,400,None,Midnight Black,Galaxy_S8,contains description,0,0,0
0,249.99,None,Midnight Black,Galaxy_Note8,no description,24,2,0
1,199,None,Midnight Black,Galaxy_Note8,contains description,0,0,0
1,1,Verizon,,Galaxy_Note10,no description,65,2,1
1,0.99,None,Midnight Black,Galaxy_S7,contains description,0,0,1
0,260,Verizon,,Galaxy_S8,contains description,0,0,0
0,265,None,,Galaxy_S9,no description,15,1,0
0,129.99,None,Midnight Black,Galaxy_S7,contains description,0,0,0
1,50,None,White,Galaxy_Note10,contains description,0,0,1
1,266.05,None,,Galaxy_Note10,contains description,0,0,0
1,485,None,,Galaxy_Note10,contains description,0,0,1
0,76,None,White,Unknown,no description,103,3,0
1,10,Sprint/T-Mobile,Space Gray,Galaxy_Note10,no description,98,10,1
1,50,None,Midnight Black,Galaxy_S7,contains description,0,0,1
1,129,None,White,Galaxy_Note8,contains description,0,0,1
1,50,None,White,Galaxy_Note10,contains description,0,0,1
1,249.95,None,,Galaxy_S8,contains description,0,0,0
0,339,,Space Gray,Unknown,contains description,0,0,0
0,200,None,,Galaxy_Note8,contains description,0,0,0
0,160,None,,Galaxy_S8,contains description,0,0,0
1,50,None,Midnight Black,Galaxy_S9,no description,39,1,1
1,395,,White,Galaxy_Note8,contains description,0,0,0
1,550,None,Gold,Galaxy_Note10,contains description,0,0,1
1,800,,Gold,Galaxy_Note10,contains description,0,0,0
1,525,None,White,Galaxy_Note10,no description,64,4,1
1,175,Sprint/T-Mobile,White,Galaxy_Note9,no description,34,1,1
1,199.99,,,Galaxy_Note10,contains description,0,0,1
1,349.99,,Space Gray,Galaxy_Note10,contains description,0,0,1
1,50,None,Midnight Black,Galaxy_S7,contains description,0,0,1
0,239.99,Verizon,White,Galaxy_S8,no description,100,3,1
0,565.95,None,Space Gray,Galaxy_Note10,no description,14,3,0
1,180,AT&T,,Galaxy_S7,contains description,0,0,0
0,630,Verizon,White,Galaxy_Note10,contains description,0,0,1
0,89,AT&T,White,Unknown,no description,99,1,0
1,399,None,White,Galaxy_Note10,contains description,0,0,1
0,232.99,,Space Gray,Unknown,contains description,0,0,0
0,167.38,,,Unknown,contains description,0,0,0
1,65,AT&T,Midnight Black,Galaxy_S7,contains description,0,0,1
0,299,None,,Galaxy_Note8,no description,97,5,0
1,0.99,None,Midnight Black,Galaxy_S7,no description,33,4,1
1,160,None,White,Galaxy_S10,contains description,0,0,1
1,346,None,Space Gray,Galaxy_Note10,contains description,0,0,1
1,0.01,None,Midnight Black,Galaxy_S8,contains description,0,0,1
1,50,None,White,Galaxy_Note10,no description,13,0,1
0,299,None,Prism Black,Galaxy_S10,contains description,0,0,0
0,249.99,None,Space Gray,Galaxy_S8,contains description,0,0,0
0,175,None,Midnight Black,Galaxy_S8,contains description,0,0,0
1,0.99,,Gold,Galaxy_Note10,no description,97,12,1
1,0.99,,,Galaxy_S7,contains description,0,0,1
1,239,None,Space Gray,Galaxy_Note9,no description,70,3,1
0,250,None,Midnight Black,Galaxy_Note8,contains description,0,0,1
1,150,Verizon,,Galaxy_S8,contains description,0,0,1
1,75,Verizon,Midnight Black,Galaxy_S8,contains description,0,0,1
1,319.99,None,White,Galaxy_Note10,no description,95,12,1
0,188,AT&T,White,Unknown,no description,99,1,0
1,300,None,Space Gray,Galaxy_Note10,contains description,0,0,1
0,199.99,None,White,Galaxy_S8,no description,97,3,0
1,160.57,None,,Galaxy_S8,no description,89,3,1
0,300,None,Black,Unknown,contains description,0,0,1
1,109,None,,Galaxy_S8,contains description,0,0,1
0,37.98,,,Unknown,contains description,0,0,1
1,400,Sprint/T-Mobile,Space Gray,Galaxy_Note10,contains description,0,0,1
1,0.99,None,,Galaxy_S9,contains description,0,0,1
1,79.99,None,White,Galaxy_S7,no description,9,0,0
0,119.99,None,Midnight Black,Galaxy_S7,no description,99,3,0
1,100,Sprint/T-Mobile,,Galaxy_Note9,no description,98,3,1
0,649.99,Verizon,Midnight Black,Galaxy_S9,contains description,0,0,0
0,299,,White,Galaxy_S9,no description,93,4,0
1,150,None,Midnight Black,Galaxy_S8,no description,106,2,1
0,258.98,None,White,Galaxy_S8,contains description,0,0,0
0,279.99,None,,Galaxy_S9,no description,100,54,0
1,75,,Midnight Black,Galaxy_S7,contains description,0,0,1
1,0.99,,,Unknown,no description,100,2,1
1,0.99,AT&T,,Galaxy_Note9,contains description,0,0,1
0,249.99,AT&T,White,Galaxy_Note8,contains description,0,0,0
0,200,None,,Galaxy_S7,contains description,0,0,0
1,100,None,,Galaxy_S9,no description,56,0,1
0,90,None,,Galaxy_S7,no description,15,2,1
1,375,None,White,Galaxy_Note9,no description,59,1,1
1,0.99,None,White,Galaxy_Note10,no description,99,6,1
0,250,None,Midnight Black,Galaxy_S9,contains description,0,0,0
1,185,None,White,Galaxy_Note9,contains description,0,0,1
0,579.99,None,White,Galaxy_Note10,no description,101,3,0
1,0.99,None,Midnight Black,Galaxy_S7,contains description,0,0,1
1,500,,White,Galaxy_Note10,contains description,0,0,0
1,107,,Midnight Black,Galaxy_S9,no description,27,2,1
1,300,None,,Unknown,no description,95,1,1
0,159.99,None,Midnight Black,Galaxy_S8,no description,49,2,1
1,45,None,,Galaxy_S7,contains description,0,0,1
0,249.99,AT&T,White,Galaxy_S8,no description,99,4,1
0,279.99,None,,Galaxy_S9,no description,97,24,0
0,276.99,None,,Galaxy_S9,no description,91,73,0
0,95,AT&T,,Galaxy_S7,no description,75,2,1
1,10,None,Midnight Black,Galaxy_S7,no description,34,1,1
0,379.99,None,Aura Black,Galaxy_Note10,no description,99,5,0
0,275,AT&T,Midnight Black,Galaxy_S8,contains description,0,0,0
1,145,,Space Gray,Unknown,contains description,0,0,0
1,275,None,Space Gray,Galaxy_Note8,contains description,0,0,1
1,0.99,None,Midnight Black,Galaxy_S7,no description,33,4,1
1,200,None,Midnight Black,Galaxy_Note8,contains description,0,0,1
0,439,None,,Galaxy_Note10,no description,96,0,0
0,379,AT&T,,Galaxy_Note10,contains description,0,0,0
1,0.99,None,Midnight Black,Galaxy_S8,no description,100,0,1
0,350,Sprint/T-Mobile,,Galaxy_Note9,no description,99,3,0
0,180,None,White,Galaxy_Note9,contains description,0,0,1
0,360,None,Aura Black,Galaxy_Note10,no description,96,8,0
0,500,None,Midnight Black,Galaxy_S9,no description,78,1,0
0,463.26,AT&T,White,Galaxy_Note8,no description,99,2,0
1,0.99,,Midnight Black,Galaxy_S7,contains description,0,0,1
0,795.99,AT&T,Space Gray,Galaxy_Note10,contains description,0,0,0
1,259.95,None,White,Galaxy_Note9,no description,98,80,0
0,275,None,White,Galaxy_Note8,no description,101,1,1
1,100,None,Black,Unknown,contains description,0,0,1
1,300,None,,Galaxy_Note8,no description,14,0,0
1,125,None,Midnight Black,Galaxy_Note8,contains description,0,0,1
0,244.97,None,White,Galaxy_S8,contains description,0,0,0
1,175,None,,Galaxy_S8,contains description,0,0,1
0,199.99,None,,Galaxy_S8,contains description,0,0,0
1,75,None,,Galaxy_S8,no description,44,2,1
1,500,,White,Galaxy_Note10,contains description,0,0,0
0,660,None,White,Galaxy_Note10,contains description,0,0,0
0,525,None,White,Galaxy_Note10,no description,97,4,0
1,0.99,None,,Galaxy_Note10,no description,101,7,1
0,209.85,Verizon,Midnight Black,Galaxy_S8,no description,99,5,0
0,299.99,None,,Galaxy_S9,no description,62,3,0
1,250,None,White,Galaxy_Note10,contains description,0,0,1
0,250,None,Midnight Black,Galaxy_S9,no description,94,0,1
0,349.99,,Gold,Unknown,contains description,0,0,0
1,200,None,Midnight Black,Galaxy_S8,contains description,0,0,0
1,10,,,Unknown,contains description,0,0,1
0,350.25,None,,Galaxy_Note9,no description,105,14,0
1,260,None,,Galaxy_Note10,contains description,0,0,1
0,479.99,None,Midnight Black,Galaxy_S9,contains description,0,0,0
1,239,None,White,Galaxy_S9,no description,60,6,0
0,376,AT&T,Black,Galaxy_Note9,no description,88,6,0
0,322.99,None,Space Gray,Galaxy_Note10,no description,101,6,0
0,675,,White,Galaxy_Note10,contains description,0,0,1
1,10,AT&T,Midnight Black,Galaxy_Note8,contains description,0,0,1
1,229,None,Space Gray,Galaxy_Note10,no description,92,7,0
0,350,Verizon,Midnight Black,Galaxy_Note8,no description,99,69,0
1,149.98,AT&T,,Galaxy_S7,no description,88,2,0
0,105,,Midnight Black,Galaxy_S7,contains description,0,0,1
1,120,None,,Galaxy_Note9,contains description,0,0,1
1,25,None,,Galaxy_Note10,contains description,0,0,1
0,318,,,Unknown,no description,98,4,0
0,110,None,Midnight Black,Galaxy_S7,no description,100,5,0
0,200.29,None,Midnight Black,Galaxy_Note8,no description,96,15,0
0,339.99,Sprint/T-Mobile,,Galaxy_Note9,contains description,0,0,1
0,829.99,,Gold,Galaxy_Note10,contains description,0,0,0
0,529.99,None,Space Gray,Galaxy_Note10,contains description,0,0,0
0,300,None,,Galaxy_Note9,contains description,0,0,0
1,70,AT&T,Midnight Black,Galaxy_S7,contains description,0,0,0
0,279.99,,Space Gray,Galaxy_Note10,contains description,0,0,0
0,241.88,None,White,Galaxy_S8,contains description,0,0,1
1,0.99,None,Midnight Black,Galaxy_S8,contains description,0,0,1
0,115,None,,Galaxy_S7,contains description,0,0,0
1,499,,Midnight Black,Galaxy_S7,contains description,0,0,0
0,499,,,Galaxy_Note9,contains description,0,0,1
1,80,None,Midnight Black,Galaxy_S7,contains description,0,0,1
1,99,,Space Gray,Galaxy_Note10,no description,20,1,1
1,0.99,None,Midnight Black,Galaxy_S9,no description,98,7,1
1,399.99,None,,Galaxy_Note10,no description,71,1,0
0,159.99,None,,Galaxy_S8,no description,49,1,0
1,259.99,None,Midnight Black,Galaxy_S9,no description,47,1,0
1,199.99,None,,Galaxy_S8,no description,19,3,0
1,180,None,White,Galaxy_Note9,contains description,0,0,0
1,200,None,Midnight Black,Galaxy_Note8,contains description,0,0,1
1,350,Verizon,Space Gray,Galaxy_Note10,contains description,0,0,1
0,279.99,Verizon,Midnight Black,Galaxy_S9,no description,105,3,0
1,549.99,None,Space Gray,Galaxy_Note10,contains description,0,0,0
0,334.99,,,Galaxy_Note10,no description,63,4,0
0,279.99,None,,Galaxy_S9,no description,95,77,0
0,900,,,Galaxy_Note10,contains description,0,0,0
0,510,None,Space Gray,Galaxy_Note10,contains description,0,0,0
0,389.99,Sprint/T-Mobile,,Galaxy_Note10,no description,88,1,0
0,439.98,,,Unknown,no description,74,3,1
0,462.89,None,Space Gray,Galaxy_Note10,contains description,0,0,0
0,239.99,None,Midnight Black,Galaxy_Note8,contains description,0,0,0
0,300,None,White,Unknown,contains description,0,0,1
1,299.99,,White,Unknown,contains description,0,0,1
0,227,AT&T,White,Galaxy_S7,no description,98,2,0
1,99,,,Unknown,no description,9,9,1
1,0.99,AT&T,Midnight Black,Galaxy_S7,no description,16,15,1
0,387,None,Space Gray,Galaxy_Note9,contains description,0,0,0
1,550,None,Gold,Unknown,contains description,0,0,0
0,249.99,None,Space Gray,Unknown,no description,3,0,0
0,589.99,Sprint/T-Mobile,Space Gray,Galaxy_Note10,contains description,0,0,0
0,176.27,AT&T,,Galaxy_S8,contains description,0,0,1
1,339,None,Midnight Black,Galaxy_S9,contains description,0,0,0
0,80,None,,Galaxy_S7,no description,67,3,0
0,165,None,,Galaxy_S7,no description,101,3,0
1,130,None,,Galaxy_S7,no description,97,4,0
0,388.3,AT&T,,Galaxy_S8,contains description,0,0,0
0,429.99,AT&T,Space Gray,Galaxy_Note10,no description,67,7,0
1,220,None,White,Galaxy_S8,no description,52,16,0
1,245,None,Space Gray,Galaxy_Note10,contains description,0,0,1
0,249.99,AT&T,Midnight Black,Galaxy_S9,no description,97,81,0
0,720.12,AT&T,,Galaxy_S8,contains description,0,0,0
0,300,None,White,Galaxy_S9,no description,99,9,0
0,500,Sprint/T-Mobile,,Galaxy_Note9,no description,54,2,0
0,200,None,White,Galaxy_S8,contains description,0,0,0
0,229.99,Verizon,White,Galaxy_Note8,no description,101,3,1
1,149.95,None,Space Gray,Galaxy_S8,no description,26,3,1
1,24.99,None,Space Gray,Galaxy_Note10,contains description,0,0,1
0,108,AT&T,White,Unknown,no description,98,2,0
1,99.99,None,White,Galaxy_S9,contains description,0,0,1
0,229.99,,,Unknown,no description,100,4,0
0,699,,,Galaxy_Note10,no description,12,0,0
0,475,None,,Galaxy_Note10,contains description,0,0,0
0,90,None,,Galaxy_S7,contains description,0,0,0
0,85.95,None,,Galaxy_S7,contains description,0,0,0
1,0.99,None,Space Gray,Galaxy_S8,no description,27,3,1
0,320.99,None,White,Galaxy_Note10,contains description,0,0,0
0,339,None,,Galaxy_Note10,no description,68,2,0
1,528,,,Galaxy_Note10,contains description,0,0,1
1,0.99,None,Midnight Black,Galaxy_S7,no description,33,4,1
0,539.95,None,,Galaxy_Note10,contains description,0,0,0
0,92,AT&T,White,Galaxy_S7,no description,95,4,0
0,349,None,,Galaxy_Note10,contains description,0,0,1
0,84.99,None,,Galaxy_S7,contains description,0,0,0
1,180,None,,Galaxy_S7,contains description,0,0,0
1,450,,,Galaxy_Note10,contains description,0,0,1
1,100,None,,Galaxy_Note9,contains description,0,0,1
1,100,None,White,Unknown,contains description,0,0,1
1,250,,Space Gray,Unknown,contains description,0,0,1
1,300,Sprint/T-Mobile,Space Gray,Galaxy_S9,contains description,0,0,1
0,517.89,AT&T,White,Galaxy_Note10,contains description,0,0,0
0,500,None,,Galaxy_Note10,contains description,0,0,1
0,397.75,Verizon,,Galaxy_S8,contains description,0,0,0
0,200,None,White,Galaxy_S8,contains description,0,0,1
0,239,Sprint/T-Mobile,,Galaxy_S8,no description,59,3,1
0,259.99,None,,Galaxy_S9,no description,21,1,0
1,250,None,,Galaxy_Note10,contains description,0,0,1
1,429.99,None,Gold,Galaxy_Note10,contains description,0,0,0
1,99.99,None,Gold,Galaxy_Note10,no description,4,1,1
1,549.99,None,Gold,Galaxy_Note10,contains description,0,0,0
0,398.99,None,White,Galaxy_S8,contains description,0,0,0
0,429.99,AT&T,,Galaxy_S8,contains description,0,0,0
1,199,AT&T,,Galaxy_S8,no description,98,5,0
0,495.49,None,White,Galaxy_Note10,contains description,0,0,0
0,249.59,,Midnight Black,Galaxy_S9,no description,96,2,0
0,250,Verizon,White,Galaxy_Note8,no description,9,1,0
0,99,AT&T,White,Galaxy_S7,no description,95,1,0
0,108,AT&T,White,Unknown,no description,98,2,0
1,225,None,White,Galaxy_Note9,no description,14,1,0
0,350,None,,Galaxy_S9,contains description,0,0,0
0,82.98,None,,Galaxy_S7,contains description,0,0,0
0,101,AT&T,White,Galaxy_S7,no description,95,1,0
0,415,Sprint/T-Mobile,,Galaxy_Note10,contains description,0,0,0
0,469,None,White,Galaxy_Note9,contains description,0,0,0
1,0.99,AT&T,,Galaxy_S8,no description,101,4,1
0,249.99,None,White,Galaxy_S9,contains description,0,0,1
0,227.88,None,,Galaxy_S8,contains description,0,0,0
0,350,,Space Gray,Galaxy_S10,contains description,0,0,0
0,199.97,None,,Galaxy_S8,no description,36,2,0
0,280,None,White,Galaxy_Note9,no description,99,7,0
1,199,AT&T,,Galaxy_S8,no description,98,5,0
0,199.99,None,Space Gray,Galaxy_S8,no description,19,3,0
0,449,None,Gold,Galaxy_Note10,contains description,0,0,0
1,349.99,None,Aura Black,Galaxy_Note10,no description,47,1,0
1,0.99,Sprint/T-Mobile,Black,Galaxy_Note9,no description,65,53,1
1,300,Verizon,Midnight Black,Galaxy_Note8,no description,82,2,0
0,310,AT&T,,Galaxy_Note9,contains description,0,0,0
1,1,AT&T,,Galaxy_Note10,no description,93,3,1
1,0.99,None,,Galaxy_Note8,no description,4,1,1
0,215,Verizon,,Galaxy_S9,contains description,0,0,1
1,0.99,,,Unknown,contains description,0,0,1
0,257.83,None,Space Gray,Galaxy_Note10,no description,101,8,0
0,303.67,None,Gold,Galaxy_S10,no description,100,25,0
0,258.88,None,Midnight Black,Galaxy_S8,contains description,0,0,0
0,196,,White,Galaxy_Note8,no description,93,4,0
0,174.99,None,Midnight Black,Galaxy_S7,no description,30,1,0
0,550,,Space Gray,Galaxy_Note10,contains description,0,0,0
0,100,None,,Galaxy_S7,contains description,0,0,0
0,424.95,None,White,Galaxy_Note10,contains description,0,0,0
0,500,None,Midnight Black,Galaxy_S9,no description,64,1,0
0,120.02,None,,Galaxy_S7,contains description,0,0,0
1,0.99,None,,Galaxy_Note10,no description,29,1,1
0,110,None,White,Galaxy_S7,no description,96,74,0
1,25,None,Space Gray,Galaxy_Note9,contains description,0,0,1
0,469.99,AT&T,,Galaxy_Note10,no description,100,3,0
0,325,None,,Galaxy_S9,contains description,0,0,0
1,0.99,,Space Gray,Galaxy_S8,no description,41,2,1
0,449.99,Verizon,,Galaxy_Note10,no description,99,16,0
0,198,None,,Galaxy_S8,no description,101,2,0
0,319.95,None,White,Galaxy_Note8,no description,19,1,1
0,419.99,AT&T,White,Galaxy_S9,contains description,0,0,0
1,150,None,Space Gray,Unknown,no description,95,1,0
1,400,,,Galaxy_Note10,contains description,0,0,1
1,350,None,,Galaxy_Note10,no description,105,3,1
0,495.99,None,Space Gray,Galaxy_Note10,contains description,0,0,0
1,500,,Space Gray,Galaxy_Note10,contains description,0,0,1
0,339,None,White,Galaxy_Note10,contains description,0,0,1
0,300,,,Galaxy_Note8,no description,92,4,0
1,99,,,Galaxy_Note8,no description,100,4,1
0,289.95,Sprint/T-Mobile,Black,Galaxy_Note9,no description,89,70,0
0,549.95,,Space Gray,Galaxy_Note10,no description,67,1,0
0,229,Verizon,White,Galaxy_Note8,no description,93,4,0
1,259,,White,Unknown,no description,28,2,0
0,649.95,Sprint/T-Mobile,White,Galaxy_Note10,contains description,0,0,0
0,615.99,None,Space Gray,Galaxy_Note10,contains description,0,0,0
1,0.99,,,Unknown,no description,100,2,1
0,270.99,AT&T,Space Gray,Galaxy_Note10,no description,97,10,0
1,175,None,White,Galaxy_Note9,contains description,0,0,1
0,430,None,,Galaxy_Note9,no description,96,3,0
0,379.99,None,Aura Black,Galaxy_Note10,contains description,0,0,0
0,299.95,,White,Galaxy_S8,no description,82,15,0
0,600,AT&T,Midnight Black,Galaxy_Note8,no description,30,1,0
0,275,None,,Galaxy_S9,contains description,0,0,0
0,585.99,,Space Gray,Galaxy_Note10,contains description,0,0,0
0,550,,,Galaxy_Note10,contains description,0,0,0
0,245,AT&T,White,Galaxy_S7,no description,22,19,0
0,180,None,White,Galaxy_Note8,contains description,0,0,0
0,329.99,None,,Galaxy_Note10,contains description,0,0,0
0,250,,Midnight Black,Galaxy_S7,contains description,0,0,0
1,299.99,None,Gold,Galaxy_Note10,contains description,0,0,0
0,260,None,Black,Unknown,contains description,0,0,0
0,340,AT&T,White,Galaxy_S9,no description,100,2,0
0,388.99,Sprint/T-Mobile,Space Gray,Galaxy_Note10,no description,96,15,0
0,90,None,,Galaxy_S7,no description,97,6,0
0,349.99,None,Black,Galaxy_Note9,no description,101,6,0
1,400,None,Space Gray,Galaxy_Note10,contains description,0,0,1
1,299.99,None,,Galaxy_Note10,no description,32,4,0
0,375,None,White,Galaxy_Note9,contains description,0,0,1
0,443.09,Sprint/T-Mobile,Space Gray,Galaxy_Note10,no description,99,15,0
0,155,None,,Galaxy_S8,contains description,0,0,0
0,275,None,Space Gray,Galaxy_Note9,contains description,0,0,0
0,149.99,,,Unknown,no description,98,4,0
0,149.59,None,,Galaxy_S8,contains description,0,0,1
0,209.99,None,White,Galaxy_S8,no description,38,2,0
1,290,None,White,Galaxy_S8,no description,15,0,0
0,789,,Space Gray,Galaxy_Note10,contains description,0,0,0
0,224,AT&T,White,Unknown,no description,98,2,0
0,239.88,None,,Galaxy_Note8,no description,101,2,0
0,252.88,None,Midnight Black,Galaxy_S8,contains description,0,0,0
1,0.99,None,Space Gray,Galaxy_Note10,no description,77,2,1
1,159.99,None,Midnight Black,Galaxy_S8,contains description,0,0,0
0,639,None,,Galaxy_Note10,contains description,0,0,0
0,619.99,None,Space Gray,Galaxy_Note10,no description,85,10,0
0,429.95,Sprint/T-Mobile,White,Galaxy_Note10,contains description,0,0,0
0,535,None,White,Unknown,contains description,0,0,0
0,289.99,None,White,Galaxy_S8,contains description,0,0,0
0,454.68,None,White,Galaxy_Note10,contains description,0,0,0
0,104.7,None,,Galaxy_S7,no description,55,1,1
